date,strategy_name,asset,group_id,strategy_type,action,option_type,side,strike,expiry,contracts,spot,mid,bid,ask,execution_price,iv,delta,cash_flow,pnl,execution_drag,reason
2017-04-21,v0_4_full_enriched_scores,QQQ,1,cash_secured_put,OPEN,put,-1,126.0,2017-05-19,8,132.56,0.35570612657943457,0.34570612657943456,0.3657061265794346,0.34570612657943456,0.15973808086904043,-0.12075327200123638,276.56490126354765,-13.200000000000006,13.200000000000006,CONDITIONAL_ENTRY_CSP
2017-04-21,v0_4_full_enriched_scores,QQQ,2,covered_call,OPEN,call,-1,139.0,2017-05-19,3,132.56,0.3302883501139604,0.3202883501139604,0.3402883501139604,0.3202883501139604,0.14653276704888352,0.1256649992526276,96.08650503418812,-4.950000000000003,4.950000000000003,GREED_EXHAUSTION_COVERED_CALL
2017-04-24,v0_4_full_enriched_scores,QQQ,1,cash_secured_put,CLOSE,put,-1,126.0,2017-05-19,8,134.16,0.06013310553428308,0.05013310553428308,0.07013310553428308,0.07013310553428308,0.13160286225402504,-0.032781651564224815,-56.10648442742646,-13.199999999999996,13.199999999999996,CSP_PROFIT_TARGET
2017-04-25,v0_4_full_enriched_scores,QQQ,2,covered_call,CLOSE,call,-1,139.0,2017-05-19,3,135.13,0.40327947536643904,0.3931974884822781,0.4133614622506,0.4133614622506,0.11906813364907866,0.18216861505139464,-124.00843867518,-4.974596065248287,4.974596065248287,CALL_STATE_EXIT
2017-05-19,v0_4_full_enriched_scores,QQQ,3,insurance,OPEN,put,1,130.0,2017-08-18,11,137.84,1.3502835695062743,1.3165264802686174,1.3840406587439311,1.3840406587439311,0.1564834979868187,-0.21241634784097074,-1522.444724618324,-44.28279816142254,44.28279816142254,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2017-08-08,v0_4_full_enriched_scores,QQQ,3,insurance,CLOSE,put,1,130.0,2017-08-18,11,144.31,0.0001505395281112612,0.0,0.010150539528111261,0.0,0.17495345090430323,-0.0001462616598206587,0.0,-7.315593480922388,7.315593480922388,INSURANCE_DTE_ROLL
2017-08-16,v0_4_full_enriched_scores,QQQ,4,insurance,OPEN,put,1,135.0,2017-11-17,12,144.28,1.2267353060678943,1.196066923416197,1.2574036887195916,1.2574036887195916,0.15696832743170933,-0.18815524554019916,-1508.88442646351,-44.602059182036825,44.602059182036825,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2017-11-07,v0_4_full_enriched_scores,QQQ,4,insurance,CLOSE,put,1,135.0,2017-11-17,12,153.88,8.608335842429072e-07,0.0,0.010000860833584244,0.0,0.16718637899662073,-1.03060179094018e-06,0.0,-7.801033000301092,7.801033000301092,INSURANCE_DTE_ROLL
2017-12-11,v0_4_full_enriched_scores,QQQ,5,cash_secured_put,OPEN,put,-1,148.0,2018-01-19,7,155.9,0.4265309940427109,0.4158677191916431,0.43719426889377866,0.4158677191916431,0.13923893501231774,-0.11981193982138996,291.10740343415017,-12.01429239574744,12.01429239574744,CONDITIONAL_ENTRY_CSP
2018-01-02,v0_4_full_enriched_scores,QQQ,5,cash_secured_put,CLOSE,put,-1,148.0,2018-01-19,7,158.49,0.05385988663590746,0.04385988663590746,0.06385988663590746,0.06385988663590746,0.16412261025932237,-0.02507321042767681,-44.70192064513522,-11.549999999999997,11.549999999999997,CSP_PROFIT_TARGET
2018-01-18,v0_4_full_enriched_scores,QQQ,6,covered_call,OPEN,call,-1,172.0,2018-02-16,3,165.82,1.021223252542967,0.9956926712293928,1.0467538338565412,0.9956926712293928,0.16760485466168132,0.22953809493576416,298.70780136881785,-9.609174394072266,9.609174394072266,GREED_EXHAUSTION_COVERED_CALL
2018-01-22,v0_4_full_enriched_scores,QQQ,6,covered_call,CLOSE,call,-1,172.0,2018-02-16,3,168.12,1.3613272795485614,1.3272940975598473,1.3953604615372754,1.3953604615372754,0.16177214132762313,0.3059243613913139,-418.60813846118265,-12.159954596614224,12.159954596614224,CALL_STATE_EXIT
2018-01-26,v0_4_full_enriched_scores,QQQ,7,covered_call,OPEN,call,-1,178.0,2018-03-16,2,170.93,1.5332614482150504,1.4949299120096742,1.5715929844204266,1.4949299120096742,0.16074972565980006,0.25963076651297307,298.98598240193485,-8.966307241075244,8.966307241075244,GREED_EXHAUSTION_COVERED_CALL
2018-01-30,v0_4_full_enriched_scores,QQQ,7,covered_call,CLOSE,call,-1,178.0,2018-03-16,2,168.7,1.2684334698417672,1.236722633095723,1.3001443065878113,1.3001443065878113,0.18206732343746795,0.2132357274766546,-260.02886131756225,-7.642167349208827,7.642167349208827,CALL_STATE_EXIT
2018-01-31,v0_4_full_enriched_scores,QQQ,8,insurance,OPEN,put,1,159.0,2018-04-20,9,169.4,1.7166070572253744,1.67369188079474,1.7595222336560088,1.7595222336560088,0.17966147749898892,-0.20655983350567775,-1583.570010290408,-44.473658787570926,44.473658787570926,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2018-02-05,v0_4_full_enriched_scores,QQQ,8,insurance,CLOSE,put,1,159.0,2018-04-20,2,158.12,7.073071062666784,6.8962442861001145,7.249897839233454,6.8962442861001145,0.23710109002678986,-0.49364264276753483,1379.248857220023,-36.665355313333954,36.665355313333954,INSURANCE_PARTIAL_MONETIZATION
2018-02-14,v0_4_full_enriched_scores,QQQ,8,insurance,CLOSE,put,1,159.0,2018-04-20,2,162.68,4.2073938576440355,4.102209011202935,4.312578704085136,4.102209011202935,0.22045882247164328,-0.37866008337205553,820.441802240587,-22.336969288220143,22.336969288220143,INSURANCE_PARTIAL_MONETIZATION
2018-04-10,v0_4_full_enriched_scores,QQQ,8,insurance,CLOSE,put,1,159.0,2018-04-20,5,161.21,2.1426418214125533,2.0890757758772396,2.196207866947867,2.0890757758772396,0.2971985853632461,-0.3780072370993311,1044.5378879386199,-30.033022767656874,30.033022767656874,INSURANCE_DTE_ROLL
2018-04-19,v0_4_full_enriched_scores,QQQ,9,cash_secured_put,OPEN,put,-1,149.0,2018-05-18,3,164.91,1.1078048055643208,1.0801096854252128,1.1354999257034288,1.0801096854252128,0.34100079351864016,-0.13298797360502448,324.0329056275639,-10.258536041732405,10.258536041732405,CONDITIONAL_ENTRY_CSP
2018-04-30,v0_4_full_enriched_scores,QQQ,9,cash_secured_put,CLOSE,put,-1,149.0,2018-05-18,3,160.94,0.23956281768944088,0.22956281768944087,0.24956281768944089,0.24956281768944089,0.2340363489499192,-0.0643851129634812,-74.86884530683227,-4.950000000000003,4.950000000000003,CSP_PROFIT_TARGET
2018-05-16,v0_4_full_enriched_scores,QQQ,10,cash_secured_put,OPEN,put,-1,152.0,2018-06-15,3,168.98,0.08827477359278202,0.07827477359278202,0.09827477359278201,0.07827477359278202,0.19228663155403003,-0.024650594531058122,23.48243207783461,-4.949999999999999,4.949999999999999,CONDITIONAL_ENTRY_CSP
2018-06-01,v0_4_full_enriched_scores,QQQ,10,cash_secured_put,CLOSE,put,-1,152.0,2018-06-15,3,172.74,0.00016222954590106378,0.0,0.010162229545901064,0.010162229545901064,0.1783126953803404,-0.00011077442875818955,-3.0486688637703194,-4.95,4.95,CSP_PROFIT_TARGET
2018-06-11,v0_4_full_enriched_scores,QQQ,11,cash_secured_put,OPEN,put,-1,157.0,2018-07-20,3,174.91,0.15547291291770637,0.14547291291770637,0.16547291291770638,0.14547291291770637,0.18851571556650454,-0.035556006262124525,43.641873875311916,-4.950000000000003,4.950000000000003,CONDITIONAL_ENTRY_CSP
2018-06-27,v0_4_full_enriched_scores,QQQ,12,insurance,OPEN,put,1,157.0,2018-09-21,8,169.73,1.971429875916101,1.9221441290181986,2.0207156228140035,2.0207156228140035,0.20780691891516698,-0.19717178853316222,-1616.572498251203,-44.62859751832195,44.62859751832195,INSURANCE_MODEL_ENTRY_PROTECTIVE_PUT
2018-07-06,v0_4_full_enriched_scores,QQQ,11,cash_secured_put,CLOSE,put,-1,157.0,2018-07-20,3,175.61,0.008868097777155581,0.0,0.018868097777155583,0.018868097777155583,0.21695734867034905,-0.003807481971114726,-5.660429333146675,-4.950000000000001,4.950000000000001,CSP_PROFIT_TARGET
2018-09-11,v0_4_full_enriched_scores,QQQ,12,insurance,CLOSE,put,1,157.0,2018-09-21,8,183.12,1.0680765163684474e-05,0.0,0.010010680765163685,0.0,0.21644872214941022,-7.64658227775616e-06,0.0,-5.2085446121309475,5.2085446121309475,INSURANCE_DTE_ROLL
2018-09-18,v0_4_full_enriched_scores,QQQ,13,covered_call,OPEN,call,-1,191.0,2018-10-19,2,182.84,1.0254523256936992,0.9998160175513566,1.0510886338360417,0.9998160175513566,0.17099390873343034,0.2049853368598812,199.9632035102713,-6.4272616284685045,6.4272616284685045,GREED_EXHAUSTION_COVERED_CALL
2018-09-19,v0_4_full_enriched_scores,QQQ,13,covered_call,CLOSE,call,-1,191.0,2018-10-19,2,182.7,0.8928388733599348,0.8705179015259364,0.9151598451939332,0.9151598451939332,0.1666967159277504,0.189971556134594,-183.03196903878666,-5.7641943667996784,5.7641943667996784,CALL_STATE_EXIT
2018-09-19,v0_4_full_enriched_scores,QQQ,14,cash_secured_put,OPEN,put,-1,174.0,2018-10-19,7,182.7,0.8217551692038647,0.8012112899737681,0.8422990484339613,0.8012112899737681,0.18107142857142855,-0.16061204679935048,560.8479029816377,-18.930715461067617,18.930715461067617,CONDITIONAL_ENTRY_CSP
2018-09-27,v0_4_full_enriched_scores,QQQ,15,covered_call,OPEN,call,-1,196.0,2018-11-16,2,185.83,1.3090749247966542,1.2763480516767378,1.3418017979165706,1.2763480516767378,0.16524283481537994,0.20957482301283475,255.26961033534755,-7.84537462398328,7.84537462398328,GREED_EXHAUSTION_COVERED_CALL
