date,strategy_name,state,event_id,event_active,P,S,G,E,R_proxy,R_put,R_call,I,I_need,I_affordability,target_asset_weight,executed_asset_weight,asset_return,cash_return,turnover,transaction_cost,base_portfolio_return,base_pnl,covered_call_pnl,cash_secured_put_pnl,insurance_pnl,assigned_inventory_pnl,execution_drag,call_premium_collected,csp_premium_collected,insurance_long_premium_paid,insurance_short_premium_collected,assigned_shares,assigned_market_value,assigned_weight,covered_call_contracts,covered_call_coverage,cash_secured_put_collateral,cash_secured_put_collateral_weight,insurance_contracts,portfolio_return,equity,effective_asset_weight,gross_return,drawdown
2016-07-25,QQQ_v0_3_Full,DATA_GUARD,0,False,3.851095993953143,77.5586266854815,66.28618636582884,30.493579203693017,18.647355671803695,18.647355671803695,18.647355671803695,30.2486977367235,13.214048872899228,81.3526443281963,0.35,0.35,0.0,7.738095238095238e-06,0.0,0.0,5.029761904761905e-06,2.5148809523809526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,5.02976190475124e-06,500002.51488095237,0.35,5.02976190475124e-06,0.0
2016-07-26,QQQ_v0_3_Full,DATA_GUARD,0,False,5.468631897203331,73.87405150669305,66.47797758799264,30.80174595488802,31.155264937760645,31.155264937760645,31.155264937760645,29.166107346306447,15.939898107662147,68.84473506223935,0.35,0.35,0.0011437620974839025,7.3412698412698415e-06,0.0,0.0,0.00040508855951619125,202.54529850759798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0004050885595161535,500205.06017946,0.35,0.0004050885595161535,0.0
2016-07-27,QQQ_v0_3_Full,DATA_GUARD,0,False,6.50415721844294,70.31712228119206,67.52307640547485,36.07538034686679,44.47269529645439,44.47269529645439,44.47269529645439,28.202765581513887,19.09458587416998,55.52730470354561,0.35,0.35,0.006942613586431001,6.944444444444444e-06,0.0,0.0,0.002434428644139739,1217.7135264445194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0024344286441397855,501422.7737059045,0.35,0.0024344286441397855,0.0
2016-07-28,QQQ_v0_3_Full,DATA_GUARD,0,False,4.542705971277406,70.54101072924267,70.03188776730246,33.497054174958045,51.51156765453916,51.51156765453916,51.51156765453916,23.07071049169995,14.598136540446319,48.48843234546084,0.35,0.35,0.0034910106475825042,6.944444444444444e-06,0.0,0.0,0.0012263676155427653,614.9286513685497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001226367615542845,502037.702357273,0.35,0.001226367615542845,0.0
2016-07-29,QQQ_v0_3_Full,DATA_GUARD,0,False,1.9614512471655383,73.57160218537092,73.79587260298322,32.09428924790484,49.70358973453873,49.70358973453873,49.70358973453873,19.971123267780918,9.862694268554133,50.29641026546127,0.35,0.35,0.0021742911810749277,4.563492063492064e-06,0.0,0.0,0.0007639681832174945,383.54083137657113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.000763968183217445,502421.2431886496,0.35,0.000763968183217445,0.0
2016-08-01,QQQ_v0_3_Full,DATA_GUARD,0,False,0.0,76.91407481483638,75.5279296412806,28.43815937102858,50.1186023012217,50.1186023012217,50.1186023012217,19.561459546563984,9.454813495825878,49.8813976987783,0.35,0.35,0.005293760305475903,5.7539682539682555e-06,0.0,0.0,0.0018565561862816451,932.7732671612023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001856556186281777,503354.0164558108,0.35,0.001856556186281777,0.0
2016-08-02,QQQ_v0_3_Full,DATA_GUARD,0,False,0.0,74.06223865417668,74.35430512029757,34.766897135052275,52.32756544097243,52.32756544097243,52.32756544097243,19.508387689129453,10.12037206583008,47.67243455902757,0.35,0.35,-0.007596685082873034,6.15079365079365e-06,0.0,0.0,-0.0026548417631325457,-1336.325264527393,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,-0.002654841763132576,502017.6911912834,0.35,-0.002654841763132576,-0.002654841763132576
2016-08-03,QQQ_v0_3_Full,DATA_GUARD,0,False,0.4421768707483044,68.79934879934878,72.6965618433892,41.11396971785505,56.45309853709376,56.45309853709376,56.45309853709376,18.948776350936868,10.749401313613744,43.54690146290624,0.35,0.35,0.0033054975643702633,6.15079365079365e-06,0.0,0.0,0.0011609221634026078,582.803464124167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.001160922163402578,502600.49465540756,0.35,0.001160922163402578,-0.0014970016643731654
2016-08-04,QQQ_v0_3_Full,DATA_GUARD,0,False,0.45918367346939265,62.8174603174603,72.15791105341405,49.30114638447969,55.91931216931216,55.91931216931216,55.91931216931216,19.786749795479977,11.688770450410688,44.08068783068784,0.35,0.35,0.002861106294433924,5.7539682539682555e-06,0.0,0.0,0.0010051272824169526,505.17746933440594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0010051272824169732,503105.67212474195,0.35,0.0010051272824169732,-0.0004933790591709064
2016-08-05,QQQ_v0_3_Full,DATA_GUARD,0,False,0.45918367346939265,64.512617012617,75.37828540269369,44.3959435626102,51.593915343915334,51.593915343915334,51.593915343915334,20.61985320881771,11.357776059728721,48.406084656084666,0.35,0.35,0.00959626523731294,4.9603174603174595e-06,0.0,0.0,0.0033619170394087352,1691.3995317393544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0033619170394088016,504797.0716564813,0.35,0.0033619170394088016,0.0
